session_id,user_id,session_start,session_duration_min
S00001,U0001,16-09-2025,9
S00002,U0001,22-12-2025,17
S00003,U0001,22-11-2025,20
S00004,U0001,16-10-2025,19
S00005,U0001,15-11-2025,3
S00006,U0001,06-08-2025,3
S00007,U0001,18-05-2025,6
S00008,U0001,22-12-2025,18
S00009,U0001,17-08-2025,14
S00010,U0001,13-04-2025,8
S00011,U0002,10-11-2025,6
S00012,U0002,05-12-2025,16
S00013,U0002,18-05-2025,4
S00014,U0002,31-01-2025,7
S00015,U0003,16-11-2025,11
S00016,U0003,06-09-2025,15
S00017,U0003,06-03-2025,11
S00018,U0003,08-11-2025,9
S00019,U0003,23-08-2025,7
S00020,U0003,11-08-2025,9
S00021,U0003,20-06-2025,3
S00022,U0003,04-02-2025,11
S00023,U0003,14-08-2025,17
S00024,U0003,07-11-2025,9
S00025,U0003,24-03-2025,8
S00026,U0004,02-06-2025,7
S00027,U0004,17-09-2025,11
S00028,U0004,03-06-2025,12
S00029,U0004,16-09-2025,20
S00030,U0004,12-02-2025,9
S00031,U0004,24-05-2025,4
S00032,U0004,08-02-2025,11
S00033,U0004,16-01-2025,8
S00034,U0004,13-11-2025,6
S00035,U0004,21-12-2025,9
S00036,U0004,11-10-2025,6
S00037,U0004,22-02-2025,12
S00038,U0005,05-12-2025,5
S00039,U0005,04-11-2025,9
S00040,U0005,29-11-2025,6
S00041,U0005,28-09-2025,4
S00042,U0005,22-11-2025,11
S00043,U0005,08-03-2025,6
S00044,U0005,14-05-2025,9
S00045,U0006,07-05-2025,7
S00046,U0006,16-01-2025,10
S00047,U0006,05-12-2025,10
S00048,U0006,25-01-2025,12
S00049,U0006,14-09-2025,7
S00050,U0006,06-09-2025,11
S00051,U0006,03-01-2025,7
S00052,U0006,26-05-2025,16
S00053,U0006,23-10-2025,16
S00054,U0006,05-01-2025,11
S00055,U0006,16-01-2025,7
S00056,U0006,23-05-2025,9
S00057,U0007,16-10-2025,10
S00058,U0007,18-04-2025,9
S00059,U0007,15-04-2025,4
S00060,U0007,12-09-2025,6
S00061,U0007,15-11-2025,7
S00062,U0007,01-10-2025,18
S00063,U0007,21-11-2025,20
S00064,U0007,26-04-2025,7
S00065,U0007,01-05-2025,20
S00066,U0007,20-09-2025,4
S00067,U0007,05-11-2025,5
S00068,U0007,02-12-2025,9
S00069,U0007,20-04-2025,6
S00070,U0008,10-11-2025,19
S00071,U0008,10-11-2025,5
S00072,U0008,10-03-2025,20
S00073,U0008,21-03-2025,9
S00074,U0008,22-12-2025,7
S00075,U0008,01-08-2025,5
S00076,U0008,20-07-2025,19
S00077,U0008,02-04-2025,14
S00078,U0009,07-03-2025,6
S00079,U0009,23-04-2025,5
S00080,U0009,31-08-2025,16
S00081,U0009,31-05-2025,18
S00082,U0009,27-11-2025,5
S00083,U0009,30-09-2025,13
S00084,U0009,10-06-2025,18
S00085,U0009,21-03-2025,10
S00086,U0009,04-02-2025,10
S00087,U0009,30-07-2025,6
S00088,U0009,06-09-2025,9
S00089,U0009,11-06-2025,7
S00090,U0010,28-11-2025,16
S00091,U0010,25-01-2025,19
S00092,U0010,08-07-2025,11
S00093,U0010,21-05-2025,16
S00094,U0010,22-07-2025,7
S00095,U0010,24-03-2025,10
S00096,U0010,01-12-2025,19
S00097,U0010,09-07-2025,8
S00098,U0010,06-01-2025,17
S00099,U0010,11-08-2025,10
S00100,U0011,11-02-2025,11
S00101,U0011,28-11-2025,6
S00102,U0011,10-01-2025,6
S00103,U0011,06-06-2025,8
S00104,U0011,02-02-2025,13
S00105,U0011,18-11-2025,8
S00106,U0011,29-11-2025,15
S00107,U0011,14-02-2025,18
S00108,U0011,29-08-2025,9
S00109,U0011,19-01-2025,9
S00110,U0011,14-10-2025,9
S00111,U0011,12-12-2025,19
S00112,U0011,19-10-2025,12
S00113,U0011,18-09-2025,11
S00114,U0011,31-05-2025,9
S00115,U0012,14-10-2025,10
S00116,U0012,20-12-2025,11
